x661_1	x661_4	clb	cln	stk
39635538	38078720	38247149	37915293	38370722
23401574	22093682	21603816	21991523	21697301
23128823	21473085	20957148	21374159	21027562
23580248	21265400	20741533	21189695	20818826
23987186	21166994	20653254	21109510	20731696
23934157	21104721	20601296	21074266	20684071
23751863	21034888	20592202	21037809	20659563
23844751	20980664	20579471	21017020	20637125
23997681	20901167	20571717	20979010	20613036
24192485	20835878	20548898	20942516	20582980
24333428	20770490	20510657	20892532	20538653
24432530	20739195	20469805	20872229	20497310
24574970	20733861	20429397	20862092	20461994
24572892	20750809	20407241	20892399	20449206
24735944	20795277	20405228	20960347	20436425
24883861	20871338	20385364	21016942	20434035
25185503	20945174	20387762	21104191	20415507
25338241	21026844	20368595	21220655	20416512
25669666	21105428	20374503	21322588	20417878
25938638	21172574	20383705	21412470	20418284
26326326	21238401	20405683	21476031	20420550
26791777	21295595	20435130	21542417	20433529
27306316	21357389	20476547	21603549	20457422
27860757	21423039	20537813	21663610	20493162
28419935	21439239	20590564	21678112	20517753
29014007	21427369	20642406	21665832	20545051
29747924	21426305	20676057	21632601	20604200
30776058	21409626	20738365	21599940	20645867
31818747	21379868	20767737	21520340	20676810
33102120	21353757	20802175	21457403	20721926
34349107	21315044	20824941	21362583	20748358
35921321	21257630	20811457	21285365	20747357
37655966	21212350	20789152	21253431	20727835
39500110	21163983	20728202	21251116	20674221
41286904	21146591	20641816	21291354	20623426
43060816	21153049	20601099	21367923	20597921
44984552	21236903	20566981	21486342	20597039
47052988	21316537	20560410	21628972	20597642
49021693	21440552	20557331	21776549	20607232
50678833	21563629	20575539	21893939	20625832
52154709	21663720	20598223	21968267	20631141
53543251	21707202	20638691	21976415	20652520
54933424	21720622	20680821	21940743	20681911
55925429	21747931	20763147	21934172	20742884
56690536	21746785	20850096	21890100	20792964
57456605	21746432	20906266	21831929	20859956
57600624	21726447	20980156	21764172	20899323
58052193	21697200	21045661	21691707	20957244
58586148	21664880	21097836	21618860	21019201
59031466	21617476	21145974	21524803	21074166
59306591	21581634	21193017	21440691	21111194
59435751	21541510	21211842	21340772	21133456
59779226	21513447	21235730	21282148	21175300
60354064	21502080	21255174	21243935	21181030
60817037	21512687	21206599	21217116	21177265
61067407	21535697	21104616	21232154	21138253
61078209	21605220	21009448	21277562	21101988
61293260	21669044	20924276	21342086	21031062
61433855	21771303	20915959	21450096	21024129
61468065	21883346	20929444	21583193	21040357
61546034	22001932	20969536	21676155	21072052
61504067	22102582	21010532	21753497	21097608
61514127	22170675	21051177	21780317	21132064
61673864	22184733	21107930	21769163	21162762
61831404	22187677	21164808	21727332	21202606
61739207	22159267	21243550	21675881	21253936
61753428	22111273	21310452	21625968	21297275
61594172	22036709	21359485	21568315	21324923
61604082	21972652	21400203	21501268	21354698
61761806	21922644	21463655	21439079	21369440
61928426	21877914	21520693	21368747	21375060
62022868	21865382	21581014	21347963	21439785
62157196	21794615	21593027	21259387	21433473
62207761	21752566	21623976	21209540	21474671
62150199	21736651	21642637	21180115	21501769
61841736	21722861	21632862	21159839	21533049
61854632	21725503	21599313	21151703	21543555
61632344	21737493	21508960	21162933	21497491
61407242	21763674	21373028	21225770	21439582
61227248	21795965	21276904	21253744	21363690
61130543	21843726	21286409	21337816	21365493
60985845	21926403	21328253	21418861	21397739
60912304	22050712	21386151	21510778	21429040
60683867	22105707	21445873	21580637	21461767
60423853	22169663	21499750	21623837	21496484
60336099	22184756	21558679	21603969	21513961
60065590	22169916	21556039	21589639	21526670
59821638	22129895	21551448	21537992	21537543
59767286	22085287	21557008	21479890	21536507
59737946	22027211	21586154	21426250	21546644
59769394	21988664	21633922	21376888	21601203
59939864	21942615	21680101	21337889	21597624
59928348	21908786	21730098	21303202	21654479
59796515	21887218	21766452	21267232	21669487
59765692	21864833	21797080	21236930	21707241
59798053	21844502	21832309	21212654	21732067
59911704	21921987	21934424	21265819	21857252
60021696	21817490	21863536	21167570	21767599
60316775	21821825	21865900	21158634	21760658
60642781	21816477	21798334	21156852	21742913
60531055	21819246	21613452	21177286	21699443
60649701	21811034	21474188	21217348	21670249
60757571	21848562	21438942	21259105	21680570
60788259	21905897	21483463	21328549	21730840
60888706	21993381	21558409	21405660	21803416
61193726	22092838	21620013	21472807	21847336
61296662	22195842	21704230	21516468	21901921
61521690	22248447	21746727	21533483	21937017
61580650	22241410	21763009	21515910	21954330
61661646	22213502	21742533	21494102	21967513
61682964	22166031	21718611	21447177	21978636
61571409	22107528	21712876	21402605	21989134
61574412	22054846	21692870	21354744	21993967
61661826	22025091	21704576	21316698	22003942
61716581	22002796	21724463	21293937	22021730
61893820	21997912	21739586	21271351	22051166
61757181	22072591	21866006	21331045	22160023
61542884	22030381	21908227	21277320	22145166
61864035	21976195	21902953	21212021	22115928
62004613	21973549	21935496	21190529	22141588
61918932	21973344	21948341	21183222	22144078
61791087	21930488	21905808	21163277	22118307
61795245	21920555	21803499	21179899	22076200
